ref_area,ref_area.label,source,source.label,indicator,indicator.label,classif1,classif1.label,time,obs_value,note_indicator,note_indicator.label,note_source,note_source.label
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2009,34.43,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2009,32.4,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2010,32.14,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2010,29.85,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2011,30.15,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2011,28.02,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2012,32.34,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2012,30.4,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2013,36.49,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2013,30.26,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2014,38.64,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2014,30.62,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2017,32.63,,,R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2017,31.61,,,R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2018,33.18,,,R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2018,32.56,,,R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_SENIOR,Occupation (Managerial positions): Senior and middle management,2019,33.14,,,R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARG,Argentina,BA:150,ARG - LFS - Encuesta Permanente de Hogares (Urban),SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2019,31.6,,,R1:3513_S4:33,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
ARM,Armenia,BA:867,ARM - LFS - Household Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2008,35.24,,,R1:3513_T3:240,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,BA:867,ARM - LFS - Household Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2014,32.39,I11:264,Break in series: Methodology revised,R1:3513_T3:240,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,BA:867,ARM - LFS - Household Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2015,29.07,,,R1:3513_T3:240,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,BA:867,ARM - LFS - Household Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2016,29.52,,,R1:3513_T3:240,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,BA:867,ARM - LFS - Household Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2017,28.71,,,R1:3513_T3:240,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,BA:867,ARM - LFS - Household Labour Force Survey,SDG_0552_OCU_RT,SDG indicator 5.5.2 - Female share of employment in managerial positions (%),OCU_MGMT_TOTAL,Occupation (Managerial positions): Total management,2018,25.84,,,R1:3513_T3:240,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
